school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-0.5,-0.5,0.4,2.0,8.0,8.0
0.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0,7.0,8.0,8.0
0.0,0.0,-2.0,1.0,1.0,1.0,-1.0,-1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5,1.0,0.5,-0.5,1.0,10.0,10.0,11.0
0.0,0.0,-2.0,1.0,0.0,1.0,0.5,-0.5,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.5,0.0,-0.5,0.5,-0.4,14.0,14.0,14.0
0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.5,-0.2,8.0,12.0,12.0
0.0,1.0,-1.0,1.0,1.0,1.0,0.5,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.5,0.0,0.0,0.5,1.0,14.0,14.0,14.0
0.0,1.0,-1.0,1.0,1.0,1.0,-0.5,-0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,-0.5,-0.5,-0.6,12.0,12.0,12.0
0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.5,0.0,-0.5,-1.5,0.2,8.0,9.0,10.0
0.0,1.0,-2.0,1.0,1.0,0.0,0.0,-0.5,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.5,0.0,-0.5,-1.5,-0.6,16.0,17.0,18.0
0.0,1.0,-2.0,1.0,0.0,1.0,0.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,-1.0,0.0,-0.5,0.5,-0.6,13.0,14.0,14.0
0.0,0.0,-2.0,1.0,0.0,1.0,0.5,0.5,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.4,12.0,11.0,12.0
