school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-0.5,-0.25,12,13,12
GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,13,14,14
GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,1,2,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.5,-0.5,-0.5,8,7,0
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.5,1.0,1.0,0.0,-0.25,10,9,9
GP,M,16,R,GT3,T,2,1,other,other,course,mother,2,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.5,-0.5,-0.5,8,9,8
GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.5,0.0,1.5,9,8,7
GP,F,17,R,GT3,T,2,4,at_home,other,course,father,1,3,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.5,0.5,0.375,12,14,14
MS,M,19,R,GT3,T,1,1,other,services,other,mother,2,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.5,0.5,-0.5,6,5,0
GP,M,17,U,LE3,T,2,3,services,services,reputation,father,1,2,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,-0.5,-0.25,12,11,12
GP,M,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.875,16,15,15
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,8,0,0
