school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.3333333333333333,18,18,18
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.5,0.3333333333333333,0.3333333333333333,12,11,12
GP,M,18,R,GT3,T,3,2,other,other,course,mother,1,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.5,0.0,-0.5,-0.3333333333333333,0.0,10,11,12
GP,M,17,R,GT3,T,2,1,other,other,course,mother,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.5,1.0,1.0,0.3333333333333333,-0.3333333333333333,12,12,13
MS,F,17,R,GT3,T,1,1,at_home,at_home,course,father,2,1,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.16666666666666666,10,11,10
GP,M,18,U,LE3,T,2,1,services,other,course,mother,3,2,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.3333333333333333,11,10,11
MS,M,19,U,GT3,T,3,2,at_home,services,course,mother,2,1,3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.5,-0.3333333333333333,0.3333333333333333,6,11,9
MS,M,19,R,GT3,T,1,1,other,other,home,other,3,1,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,2.0,0.5,0.3333333333333333,0.3333333333333333,8,9,10
MS,M,16,U,GT3,T,1,1,at_home,services,home,mother,2,2,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.5,-0.3333333333333333,-0.3333333333333333,7,0,0
GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.3333333333333333,-0.3333333333333333,13,12,12
