school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0.0,1.0,-0.5,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-0.5,0.0,1.0,0.0,-1.0,0.3333333333333333,13.0,12.0,13.0
0.0,0.0,0.5,1.0,0.0,1.0,0.0,-1.0,3.0,2.0,3.0,1.0,-1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.3333333333333333,1.3333333333333333,10.0,9.0,8.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,2.0,2.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,-0.5,-0.5,0.0,0.0,0.3333333333333333,1.0,11.0,10.0,11.0
0.0,1.0,-0.5,1.0,0.0,1.0,0.0,-1.0,0.0,2.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-0.5,-1.0,0.0,-0.5,-0.6666666666666666,0.3333333333333333,9.0,9.0,11.0
0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,-0.5,0.3333333333333333,1.6666666666666667,13.0,11.0,11.0
0.0,0.0,-0.5,0.0,0.0,1.0,-0.5,-1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-0.5,-0.3333333333333333,-0.3333333333333333,14.0,13.0,13.0
0.0,1.0,0.5,1.0,1.0,1.0,0.5,-1.0,3.0,3.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.5,3.0,1.5,0.0,0.0,11.0,11.0,12.0
0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,2.0,3.0,0.0,2.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,-0.5,0.3333333333333333,1.3333333333333333,12.0,11.0,11.0
0.0,0.0,-0.5,0.0,0.0,1.0,-0.5,-1.0,2.0,3.0,3.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,12.0,11.0,11.0
0.0,0.0,-1.0,0.0,0.0,1.0,-0.5,-1.0,2.0,2.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.5,-1.0,0.0,8.0,9.0,9.0
