school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_mat,traveltime_mat,studytime_mat,failures_mat,schoolsup_mat,famsup_mat,paid_mat,activities_mat,nursery,higher_mat,internet,romantic_mat,famrel_mat,freetime_mat,goout_mat,Dalc_mat,Walc_mat,health_mat,absences_mat,guardian_por,traveltime_por,studytime_por,failures_por,schoolsup_por,famsup_por,paid_por,activities_por,higher_por,romantic_por,famrel_por,freetime_por,goout_por,Dalc_por,Walc_por,health_por,absences_por,G1_mat,G2_mat,G3_mat,G1_por,G2_por,G3_por
0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,-0.5,0.375,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-0.5,-0.5,0.3333333333333333,5,6,6,0,11,11
0.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0,5,5,6,9,11,11
0.0,0.0,-2.0,1.0,1.0,1.0,-1.0,-1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.5,1.0,0.5,-0.5,0.875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,1.0,0.5,-0.5,0.6666666666666666,7,8,10,12,13,12
0.0,0.0,-2.0,1.0,0.0,1.0,0.5,-0.5,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.5,0.0,-0.5,0.5,-0.125,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-0.5,0.0,-0.5,0.5,-0.3333333333333333,15,14,15,14,14,14
0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.5,-0.3333333333333333,6,10,10,11,13,13
0.0,1.0,-1.0,1.0,1.0,1.0,0.5,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.5,0.0,0.0,0.5,0.875,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.5,0.0,0.0,0.5,0.6666666666666666,15,15,15,12,12,13
0.0,1.0,-1.0,1.0,1.0,1.0,-0.5,-0.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,-0.5,-0.5,-0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,-0.5,-0.5,-0.3333333333333333,12,12,11,13,12,13
0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.5,0.0,-0.5,-1.5,0.375,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.5,0.0,-0.5,-1.5,0.0,6,5,6,10,13,13
0.0,1.0,-2.0,1.0,1.0,0.0,0.0,-0.5,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,-0.5,0.0,-0.5,-1.5,-0.375,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-0.5,0.0,-0.5,-1.5,-0.3333333333333333,16,18,19,15,16,17
0.0,1.0,-2.0,1.0,0.0,1.0,0.0,0.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,-1.0,0.0,-0.5,0.5,-0.375,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,0.0,-0.5,0.5,-0.3333333333333333,14,15,15,12,12,13
