school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0.0,1.0,-0.5,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-0.5,0.0,1.0,0.0,-1.0,0.3333333333333333,13,12,13
0.0,0.0,0.5,1.0,0.0,1.0,0.0,-1.0,3.0,2.0,3.0,1.0,-1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.3333333333333333,1.3333333333333333,10,9,8
0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,2.0,2.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,-0.5,-0.5,0.0,0.0,0.3333333333333333,1.0,11,10,11
0.0,1.0,-0.5,1.0,0.0,1.0,0.0,-1.0,0.0,2.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-0.5,-1.0,0.0,-0.5,-0.6666666666666666,0.3333333333333333,9,9,11
0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,-0.5,0.3333333333333333,1.6666666666666667,13,11,11
0.0,0.0,-0.5,0.0,0.0,1.0,-0.5,-1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-0.5,-0.3333333333333333,-0.3333333333333333,14,13,13
0.0,1.0,0.5,1.0,1.0,1.0,0.5,-1.0,3.0,3.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.5,3.0,1.5,0.0,0.0,11,11,12
0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,2.0,3.0,0.0,2.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,-0.5,0.3333333333333333,1.3333333333333333,12,11,11
0.0,0.0,-0.5,0.0,0.0,1.0,-0.5,-1.0,2.0,3.0,3.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,12,11,11
0.0,0.0,-1.0,0.0,0.0,1.0,-0.5,-1.0,2.0,2.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.5,-1.0,0.0,8,9,9
0.0,0.0,-1.0,1.0,0.0,0.0,0.5,1.0,3.0,3.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-3.0,0.0,-0.5,1.0,0.5,-1.0,3.6666666666666665,9,8,9
0.0,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,2.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,-0.5,0.0,-0.5,0.3333333333333333,-0.3333333333333333,11,10,10
0.0,0.0,-1.0,1.0,0.0,1.0,-0.5,0.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.0,0.0,0.5,1.0,1.0,-1.0,0.6666666666666666,11,11,11
0.0,1.0,-0.5,1.0,1.0,1.0,-0.5,0.0,1.0,3.0,0.0,1.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,2.0,1.5,0.3333333333333333,-0.3333333333333333,9,8,10
0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,-0.3333333333333333,0.3333333333333333,7,6,8
0.0,1.0,-1.0,1.0,1.0,1.0,-0.5,0.0,2.0,2.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.3333333333333333,0.0,8,9,10
0.0,1.0,-0.5,1.0,0.0,1.0,-0.5,1.0,0.0,3.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6666666666666666,0.0,9,8,8
0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,3.0,3.0,0.0,1.0,0.0,-1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.0,-0.5,-0.6666666666666666,1.3333333333333333,8,7,8
0.0,0.0,-0.5,1.0,0.0,0.0,1.0,-1.0,2.0,2.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,14,13,13
0.0,0.0,0.5,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3333333333333333,2.6666666666666665,10,10,10
0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-0.5,0.3333333333333333,2.3333333333333335,9,8,10
0.0,0.0,0.5,1.0,0.0,1.0,0.5,1.0,2.0,2.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-0.5,-0.3333333333333333,2.0,8,7,7
0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,-1.0,4.0,7,8,8
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.5,-1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,10,8,9
0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,-0.5,0.0,-0.5,-0.3333333333333333,0.3333333333333333,14,14,15
0.0,0.0,0.0,1.0,1.0,1.0,-0.5,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.3333333333333333,11,10,10
0.0,0.0,-0.5,1.0,0.0,1.0,-0.5,0.0,2.0,2.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,12,11,11
0.0,0.0,0.0,0.0,1.0,0.0,-0.5,2.0,2.0,2.0,0.0,2.0,2.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,-0.5,0.3333333333333333,2.0,9,9,8
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-0.5,0.0,-0.5,-1.0,1.0,11,9,10
0.0,0.0,0.0,0.0,1.0,1.0,-0.5,-1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,15,14,15
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.3333333333333333,15,14,14
0.0,1.0,0.0,0.0,0.0,1.0,-0.5,-1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,13,14,15
0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.5,-0.5,1.0,0.5,0.3333333333333333,1.3333333333333333,11,11,11
0.0,0.0,0.0,1.0,0.0,1.0,-0.5,-1.0,0.0,2.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.5,0.0,-0.5,0.0,1.3333333333333333,10,9,10
0.0,0.0,0.0,1.0,0.0,1.0,-0.5,-1.0,2.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,11,10,11
0.0,0.0,0.5,1.0,1.0,0.0,0.0,-1.0,2.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.3333333333333333,0.0,12,12,13
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.3333333333333333,-0.3333333333333333,10,10,11
0.0,1.0,0.5,1.0,1.0,1.0,0.0,-1.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,3.0,1.0,0.3333333333333333,0.3333333333333333,11,10,11
